"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1865649159010996641","Sun Dec 08 06:46:36 +0000 2024","0","Pesan Mie Gacoan di ShopeeFood ada Voucher Diskon 50% loh! Cek disini keburu habis! https://t.co/YiINPpjFNz","1865649159010996641","","","in","","0","0","0","https://x.com/r4cunnshopee/status/1865649159010996641","1793534694015053824","r4cunnshopee"
"1865638484284944488","Sun Dec 08 06:38:07 +0000 2024","0","@meolli__ tapi gacoan ga enak menurut ku tau kaaa mienya juga gede aku gabisa mam mie gede","1865647025016250517","","meolli__","in","","0","1","0","https://x.com/sweetfairycrush/status/1865647025016250517","1417130378104508422","sweetfairycrush"
"1865645702787088465","Sun Dec 08 06:37:51 +0000 2024","0","Pesan Mie Gacoan di ShopeeFood ada Voucher Diskon 50% loh! Cek disini keburu habis! https://t.co/a9xxYUUmzq","1865646959773839818","","shkncrmyltt","in","","0","1","0","https://x.com/shkncrmyltt/status/1865646959773839818","1798648170660143104","shkncrmyltt"
"1865644787094741389","Sun Dec 08 06:29:13 +0000 2024","1","Guys yg gacoan mending buat dua mie atau 1 mie 1 minum ya DF https://t.co/IRfDRoFnfo","1865644787094741389","https://pbs.twimg.com/media/GeQaC-7XoAAlNsq.jpg","","in","","0","1","0","https://x.com/DF_Discountfess/status/1865644787094741389","1816814779815878656","DF_Discountfess"
"1865638009233875380","Sun Dec 08 06:02:52 +0000 2024","0","Pesan Mie Gacoan di ShopeeFood ada Voucher Diskon 50% loh! Cek disini keburu habis! https://t.co/Cxc62HVUNO","1865638154327445814","","asrsadcsagt","in","","0","1","0","https://x.com/asrsadcsagt/status/1865638154327445814","1679879896414420993","asrsadcsagt"
"1865635479087198353","Sun Dec 08 05:52:14 +0000 2024","0","guys aku udh sarapan mie ayam tp mau beli gacoan is it ok ?","1865635479087198353","","","in","ana","1","2","0","https://x.com/skenagay/status/1865635479087198353","1417631668127494144","skenagay"
"1865627243940339863","Sun Dec 08 05:19:31 +0000 2024","0","Belum otw ke motion IME krn KIA keponakan gua gak ketemu Alamat gagal Makanya kalo seneng tuh seperlunya aja pirrr https://t.co/IQZHazhvRQ","1865627243940339863","https://pbs.twimg.com/media/GeQKFc2bAAAQB28.jpg","","in","","0","0","0","https://x.com/oingoingmong/status/1865627243940339863","1597652632218529793","oingoingmong"
"1865626108189921477","Sun Dec 08 05:15:00 +0000 2024","0","makan mie gacoan sma roti bakar aja kebawa mimpi anjj","1865626108189921477","","","in","","0","0","0","https://x.com/lazyytrasy/status/1865626108189921477","1493303980893835265","lazyytrasy"
"1865621632360038405","Sun Dec 08 04:57:13 +0000 2024","0","Pesan Mie Gacoan di ShopeeFood ada Voucher Diskon 50% loh! Cek disini keburu habis! https://t.co/VNDuJGCro0 Jakarta Bandung Jogja Solo Semarang Malang Surabaya Bali Bogor Bekasi Depok Jaksel Miftah Prabowo Yati Pesek Kalah","1865621632360038405","","","in","","0","0","0","https://x.com/emirafuka/status/1865621632360038405","2355543943","emirafuka"
"1865614226565574824","Sun Dec 08 04:27:47 +0000 2024","0","Asliii bentar lagi di lenteng ada mie Gacoan cok mantappplahhh","1865614226565574824","","","in","campursari ","0","0","0","https://x.com/Bajayyybajuri/status/1865614226565574824","288040392","Bajayyybajuri"
